match_id,team,total_shots,goals,shots_on_target
3825741,Real Sociedad,9,1,9
3825741,Sporting Gijón,13,5,10
3825742,Getafe,9,2,8
3825742,Granada,20,3,20
3825743,Celta Vigo,3,0,3
3825743,Rayo Vallecano,26,3,19
3825744,Espanyol,11,2,9
3825744,Villarreal,14,2,12
3825745,RC Deportivo La Coruña,8,1,8
3825745,Valencia,10,1,9
3825746,Real Betis,5,1,5
3825746,Real Madrid,20,1,17
3825747,Athletic Club,10,4,10
3825747,Eibar,9,2,7
3825748,Atlético Madrid,21,0,18
3825748,Sevilla,7,0,7
3825749,Las Palmas,13,2,12
3825749,Levante UD,12,3,11
3825750,Real Betis,8,1,7
3825750,Real Sociedad,11,2,10
3825751,Athletic Club,14,1,10
3825751,Getafe,11,0,8
3825752,Eibar,11,1,10
3825752,Málaga,7,2,7
3825753,Granada,8,0,7
3825753,Villarreal,13,1,12
3825754,Celta Vigo,5,1,5
3825754,Las Palmas,13,2,11
3825755,Sporting Gijón,9,1,6
3825755,Valencia,18,0,16
3825756,Levante UD,22,1,19
3825756,Sevilla,14,3,13
3825757,Espanyol,15,0,13
3825757,Real Madrid,18,5,17
3825758,RC Deportivo La Coruña,17,2,15
3825758,Rayo Vallecano,7,2,7
3825759,Getafe,5,0,5
3825759,Málaga,9,3,8
3825760,Atlético Madrid,13,3,12
3825760,Eibar,6,1,5
3825761,Athletic Club,10,0,8
3825761,Villarreal,2,0,2
3825762,RC Deportivo La Coruña,5,1,5
3825762,Sporting Gijón,11,1,9
3825763,Las Palmas,9,0,9
3825763,Rayo Vallecano,19,2,15
3825764,Granada,14,1,13
3825764,Real Madrid,14,2,14
3825765,Celta Vigo,25,1,25
3825765,Sevilla,9,1,8
3825766,Real Betis,6,1,6
3825766,Valencia,7,0,7
3825767,Espanyol,5,0,5
3825767,Real Sociedad,12,5,12
3825768,Rayo Vallecano,16,2,13
3825768,Sporting Gijón,11,2,8
3825769,Málaga,7,0,7
3825769,Villarreal,12,1,12
3825770,Athletic Club,11,2,9
3825770,Real Madrid,19,4,19
3825771,RC Deportivo La Coruña,26,2,20
3825771,Real Betis,4,2,4
3825772,Espanyol,20,1,19
3825772,Valencia,18,2,18
3825773,Eibar,17,2,11
3825773,Levante UD,8,0,7
3825774,Atlético Madrid,6,1,6
3825774,Getafe,12,0,11
3825775,Granada,14,0,10
3825775,Real Sociedad,12,3,11
3825776,Las Palmas,11,0,7
3825776,Sevilla,9,2,9
3825777,Getafe,14,0,13
3825777,Levante UD,12,3,11
3825778,Real Betis,18,1,17
3825778,Sporting Gijón,5,1,3
3825779,Celta Vigo,14,3,14
3825779,Eibar,7,2,7
3825780,Espanyol,16,1,14
3825780,RC Deportivo La Coruña,17,0,15
3825781,Rayo Vallecano,14,2,11
3825781,Sevilla,16,2,11
3825782,Granada,15,1,12
3825782,Valencia,11,2,11
3825783,Athletic Club,10,0,8
3825783,Real Sociedad,9,1,9
3825784,Atlético Madrid,12,0,11
3825784,Villarreal,5,0,5
3825785,Málaga,11,1,11
3825785,Real Madrid,14,1,14
3825786,Eibar,10,0,10
3825786,Las Palmas,12,1,10
3825787,Atlético Madrid,10,1,9
3825787,Real Madrid,15,0,14
3825788,Celta Vigo,9,1,8
3825788,Getafe,14,0,14
3825789,Málaga,8,1,8
3825789,Real Sociedad,11,1,7
3825790,Espanyol,12,3,11
3825790,Sporting Gijón,14,2,11
3825791,Rayo Vallecano,11,2,10
3825791,Real Betis,20,2,17
3825792,Granada,10,1,8
3825792,RC Deportivo La Coruña,14,0,14
3825793,Athletic Club,13,3,12
3825793,Valencia,9,0,8
3825794,Levante UD,8,0,6
3825794,Villarreal,9,3,8
3825795,Atlético Madrid,14,2,12
3825795,Real Sociedad,7,0,5
3825796,Getafe,10,0,9
3825796,Las Palmas,12,4,11
3825797,Athletic Club,13,4,12
3825797,RC Deportivo La Coruña,8,1,8
3825798,Levante UD,12,1,11
3825798,Real Madrid,21,2,19
3825799,Málaga,10,1,8
3825799,Valencia,12,1,10
3825800,Celta Vigo,11,0,9
3825800,Villarreal,6,0,6
3825801,Eibar,12,0,10
3825801,Sevilla,15,1,13
3825802,Espanyol,19,0,17
3825802,Real Betis,9,3,9
3825803,Granada,14,2,13
3825803,Sporting Gijón,4,0,3
3825804,Málaga,5,2,5
3825804,RC Deportivo La Coruña,15,3,15
3825805,Las Palmas,10,1,9
3825805,Villarreal,12,0,12
3825806,Celta Vigo,8,1,7
3825806,Real Madrid,20,7,19
3825807,Atlético Madrid,21,3,20
3825807,Valencia,10,1,9
3825808,Athletic Club,11,2,10
3825808,Sporting Gijón,5,0,5
3825809,Granada,10,0,9
3825809,Real Betis,11,2,10
3825810,Levante UD,10,1,10
3825810,Real Sociedad,15,1,15
3825811,Espanyol,9,2,9
