match_id,team,total_pressures
3825850,Celta Vigo,126
3825850,Málaga,137
3825851,RC Deportivo La Coruña,138
3825851,Villarreal,106
3825852,Las Palmas,160
3825852,Sporting Gijón,232
3825853,Granada,175
3825853,Sevilla,146
3825854,Eibar,126
3825854,Sporting Gijón,171
3825855,Levante UD,125
3825855,Málaga,121
3825856,Eibar,187
3825856,Real Madrid,148
3825857,Espanyol,119
3825857,Levante UD,109
3825858,Eibar,145
3825858,Rayo Vallecano,107
3825859,Granada,159
3825859,Las Palmas,120
3825860,Atlético Madrid,191
3825860,Levante UD,154
3825861,Rayo Vallecano,140
3825861,Real Sociedad,189
3825862,Celta Vigo,175
3825862,Espanyol,221
3825863,Las Palmas,93
3825863,RC Deportivo La Coruña,165
3825864,Real Madrid,155
3825864,Real Sociedad,167
3825865,Getafe,149
3825865,Sporting Gijón,181
3825866,Athletic Club,183
3825866,Las Palmas,162
3825867,Getafe,152
3825867,Sevilla,171
3825868,Celta Vigo,165
3825868,Granada,146
3825869,Athletic Club,150
3825869,Sevilla,157
3825870,Athletic Club,146
3825870,Celta Vigo,123
3825871,Espanyol,282
3825871,Las Palmas,171
3825872,Atlético Madrid,183
3825872,Real Betis,159
3825873,Valencia,178
3825873,Villarreal,151
3825874,Getafe,148
3825874,Sevilla,84
3825875,Real Sociedad,154
3825875,Villarreal,154
3825876,Getafe,157
3825876,Real Betis,141
3825877,Athletic Club,142
3825877,Granada,188
3825878,Atlético Madrid,176
3825878,Rayo Vallecano,213
3825879,Las Palmas,158
3825879,Real Madrid,162
3825880,Levante UD,178
3825880,RC Deportivo La Coruña,159
3825881,Espanyol,123
3825881,Granada,116
3825882,Atlético Madrid,138
3825882,Celta Vigo,179
3825883,Las Palmas,104
3825883,Málaga,151
3825884,Real Betis,132
3825884,Sevilla,175
3825885,Getafe,164
3825885,Rayo Vallecano,159
3825886,Rayo Vallecano,228
3825886,Real Madrid,131
3825887,Granada,150
3825887,Rayo Vallecano,113
3825888,Las Palmas,149
3825888,Valencia,237
3825889,Celta Vigo,158
3825889,Real Betis,179
3825890,Atlético Madrid,192
3825890,Málaga,148
3825891,Espanyol,182
3825891,Las Palmas,136
3825892,Granada,104
3825892,Real Sociedad,138
3825893,Real Madrid,94
3825893,Villarreal,182
3825894,Getafe,185
3825894,RC Deportivo La Coruña,165
3825895,Las Palmas,158
3825895,Sevilla,118
3825896,Granada,113
3825896,Levante UD,92
3825897,Eibar,175
3825897,Real Sociedad,135
3825898,Celta Vigo,119
3825898,RC Deportivo La Coruña,145
3825899,Getafe,172
3825899,Valencia,176
3825900,Sporting Gijón,156
3825900,Villarreal,104
3825901,Real Madrid,148
3825901,Valencia,147
3825902,Levante UD,153
3825902,Rayo Vallecano,160
3825903,Málaga,221
3825903,Real Betis,163
3825904,Eibar,183
3825904,Real Betis,184
3825905,Espanyol,163
3825905,Málaga,150
3825906,RC Deportivo La Coruña,123
3825906,Sevilla,137
3825907,Atlético Madrid,169
3825907,Sporting Gijón,158
3825908,Eibar,173
3825908,Espanyol,135
