match_id,team,total_passes,completed_passes,pass_accuracy
3825723,Rayo Vallecano,503,339,67.4
3825724,RC Deportivo La Coruña,548,442,80.66
3825724,Real Madrid,588,512,87.07
3825725,Getafe,453,334,73.73
3825725,Real Betis,403,293,72.7
3825726,Athletic Club,497,380,76.46
3825726,Sevilla,477,358,75.05
3825727,Eibar,474,333,70.25
3825727,Espanyol,420,287,68.33
3825728,Atlético Madrid,480,350,72.92
3825728,Celta Vigo,607,478,78.75
3825729,Sporting Gijón,548,406,74.09
3825729,Villarreal,504,385,76.39
3825730,Real Sociedad,500,375,75.0
3825730,Valencia,493,370,75.05
3825731,Las Palmas,586,485,82.76
3825731,Málaga,419,315,75.18
3825732,Celta Vigo,572,435,76.05
3825732,Levante UD,417,285,68.35
3825733,Málaga,395,269,68.1
3825733,Sevilla,473,360,76.11
3825734,RC Deportivo La Coruña,388,267,68.81
3825734,Real Sociedad,672,547,81.4
3825735,Real Betis,568,439,77.29
3825735,Villarreal,561,429,76.47
3825736,Rayo Vallecano,440,327,74.32
3825736,Valencia,482,354,73.44
3825737,Espanyol,598,486,81.27
3825737,Getafe,356,265,74.44
3825738,Atlético Madrid,497,372,74.85
3825738,Las Palmas,705,591,83.83
3825739,Real Madrid,786,701,89.19
3825739,Sporting Gijón,391,307,78.52
3825740,Eibar,443,312,70.43
3825740,Granada,360,231,64.17
3825741,Real Sociedad,490,387,78.98
3825741,Sporting Gijón,374,253,67.65
3825742,Getafe,451,333,73.84
3825742,Granada,449,327,72.83
3825743,Celta Vigo,320,197,61.56
3825743,Rayo Vallecano,398,270,67.84
3825744,Espanyol,437,345,78.95
3825744,Villarreal,538,423,78.62
3825745,RC Deportivo La Coruña,477,337,70.65
3825745,Valencia,506,376,74.31
3825746,Real Betis,373,281,75.34
3825746,Real Madrid,689,586,85.05
3825747,Athletic Club,485,350,72.16
3825747,Eibar,414,273,65.94
3825748,Atlético Madrid,597,474,79.4
3825748,Sevilla,280,153,54.64
3825749,Las Palmas,695,585,84.17
3825749,Levante UD,305,212,69.51
3825750,Real Betis,532,413,77.63
3825750,Real Sociedad,470,352,74.89
3825751,Athletic Club,394,248,62.94
3825751,Getafe,504,357,70.83
3825752,Eibar,505,325,64.36
3825752,Málaga,375,227,60.53
3825753,Granada,427,310,72.6
3825753,Villarreal,539,418,77.55
3825754,Celta Vigo,400,293,73.25
3825754,Las Palmas,540,423,78.33
3825755,Sporting Gijón,329,209,63.53
3825755,Valencia,540,423,78.33
3825756,Levante UD,521,410,78.69
3825756,Sevilla,460,349,75.87
3825757,Espanyol,361,278,77.01
3825757,Real Madrid,696,612,87.93
3825758,RC Deportivo La Coruña,497,333,67.0
3825758,Rayo Vallecano,414,271,65.46
3825759,Getafe,577,437,75.74
3825759,Málaga,453,335,73.95
3825760,Atlético Madrid,454,316,69.6
3825760,Eibar,408,268,65.69
3825761,Athletic Club,572,445,77.8
3825761,Villarreal,399,259,64.91
3825762,RC Deportivo La Coruña,523,368,70.36
3825762,Sporting Gijón,418,277,66.27
3825763,Las Palmas,476,342,71.85
3825763,Rayo Vallecano,472,336,71.19
3825764,Granada,389,293,75.32
3825764,Real Madrid,644,539,83.7
3825765,Celta Vigo,716,624,87.15
3825765,Sevilla,261,157,60.15
3825766,Real Betis,375,240,64.0
3825766,Valencia,470,324,68.94
3825767,Espanyol,613,467,76.18
3825767,Real Sociedad,355,222,62.54
3825768,Rayo Vallecano,599,485,80.97
3825768,Sporting Gijón,369,250,67.75
3825769,Málaga,501,358,71.46
3825769,Villarreal,509,369,72.5
3825770,Athletic Club,430,332,77.21
3825770,Real Madrid,660,561,85.0
3825771,RC Deportivo La Coruña,468,322,68.8
3825771,Real Betis,381,262,68.77
3825772,Espanyol,321,209,65.11
3825772,Valencia,465,363,78.06
3825773,Eibar,454,306,67.4
3825773,Levante UD,480,363,75.62
3825774,Atlético Madrid,484,388,80.17
3825774,Getafe,634,540,85.17
3825775,Granada,463,333,71.92
3825775,Real Sociedad,416,292,70.19
3825776,Las Palmas,466,368,78.97
3825776,Sevilla,539,419,77.74
3825777,Getafe,449,319,71.05
3825777,Levante UD,369,262,71.0
3825778,Real Betis,498,369,74.1
3825778,Sporting Gijón,388,277,71.39
3825779,Celta Vigo,601,467,77.7
3825779,Eibar,360,227,63.06
3825780,Espanyol,370,248,67.03
3825780,RC Deportivo La Coruña,579,453,78.24
3825781,Rayo Vallecano,486,360,74.07
3825781,Sevilla,330,175,53.03
3825782,Granada,526,417,79.28
3825782,Valencia,452,352,77.88
3825783,Athletic Club,512,347,67.77
3825783,Real Sociedad,350,221,63.14
3825784,Atlético Madrid,611,456,74.63
3825784,Villarreal,434,292,67.28
3825785,Málaga,340,228,67.06
3825785,Real Madrid,564,468,82.98
3825786,Eibar,477,320,67.09
3825786,Las Palmas,493,355,72.01
3825787,Atlético Madrid,358,249,69.55
3825787,Real Madrid,721,617,85.58
3825788,Celta Vigo,402,283,70.4
3825788,Getafe,450,319,70.89
3825789,Málaga,372,260,69.89
3825789,Real Sociedad,504,367,72.82
3825790,Espanyol,427,311,72.83
3825790,Sporting Gijón,499,373,74.75
3825791,Rayo Vallecano,496,362,72.98
3825791,Real Betis,337,227,67.36
3825792,Granada,365,248,67.95
3825792,RC Deportivo La Coruña,672,533,79.32
3825793,Athletic Club,528,428,81.06
3825793,Valencia,554,448,80.87
3825794,Levante UD,502,413,82.27
3825794,Villarreal,527,440,83.49
3825795,Atlético Madrid,622,504,81.03
3825795,Real Sociedad,560,449,80.18
3825796,Getafe,428,331,77.34
3825796,Las Palmas,539,461,85.53
3825797,Athletic Club,585,463,79.15
3825797,RC Deportivo La Coruña,499,366,73.35
3825798,Levante UD,500,406,81.2
3825798,Real Madrid,543,448,82.5
3825799,Málaga,407,275,67.57
3825799,Valencia,488,350,71.72
3825800,Celta Vigo,692,576,83.24
3825800,Villarreal,335,239,71.34
3825801,Eibar,468,337,72.01
3825801,Sevilla,503,385,76.54
3825802,Espanyol,468,337,72.01
3825802,Real Betis,405,304,75.06
3825803,Granada,500,378,75.6
3825803,Sporting Gijón,426,304,71.36
3825804,Málaga,431,297,68.91
3825804,RC Deportivo La Coruña,526,384,73.0
3825805,Las Palmas,531,423,79.66
3825805,Villarreal,699,572,81.83
3825806,Celta Vigo,470,373,79.36
3825806,Real Madrid,599,513,85.64
3825807,Atlético Madrid,611,485,79.38
3825807,Valencia,495,365,73.74
3825808,Athletic Club,546,418,76.56
3825808,Sporting Gijón,465,342,73.55
3825809,Granada,467,364,77.94
3825809,Real Betis,364,263,72.25
3825810,Levante UD,389,278,71.47
3825810,Real Sociedad,539,410,76.07
3825811,Espanyol,300,185,61.67
3825811,Rayo Vallecano,588,475,80.78
3825812,Málaga,483,336,69.57
3825812,Sporting Gijón,511,368,72.02
3825813,Atlético Madrid,536,436,81.34
3825813,RC Deportivo La Coruña,496,389,78.43
3825814,Celta Vigo,399,276,69.17
3825814,Real Sociedad,547,400,73.13
3825815,Levante UD,423,282,66.67
3825815,Valencia,482,350,72.61
3825816,Sevilla,485,391,80.62
3825816,Villarreal,415,331,79.76
3825817,Eibar,496,359,72.38
3825817,Getafe,334,206,61.68
3825818,Las Palmas,370,269,72.7
3825818,Real Sociedad,597,472,79.06
3825819,Celta Vigo,491,369,75.15
3825819,Valencia,482,363,75.31
3825820,Real Madrid,633,544,85.94
3825820,Sevilla,394,303,76.9
3825821,Athletic Club,569,439,77.15
3825821,Espanyol,391,268,68.54
3825822,Las Palmas,612,491,80.23
3825822,Valencia,369,258,69.92
3825823,Real Sociedad,322,207,64.29
3825823,Sevilla,576,447,77.6
3825824,Eibar,523,355,67.88
3825824,Villarreal,499,349,69.94
3825825,Levante UD,474,337,71.1
3825825,Sporting Gijón,403,263,65.26
3825826,Granada,445,329,73.93
3825826,Málaga,446,334,74.89
3825827,Levante UD,481,360,74.84
3825827,Real Betis,489,371,75.87
3825828,Atlético Madrid,469,337,71.86
3825828,Espanyol,499,370,74.15
3825829,Athletic Club,447,326,72.93
3825829,Rayo Vallecano,584,453,77.57
3825830,Getafe,436,314,72.02
3825830,Villarreal,490,360,73.47
3825831,Sevilla,414,310,74.88
3825831,Valencia,433,336,77.6
3825832,Celta Vigo,534,414,77.53
3825832,Sporting Gijón,368,242,65.76
3825833,Getafe,354,273,77.12
3825833,Real Madrid,574,504,87.8
3825834,Atlético Madrid,559,432,77.28
3825834,Granada,436,334,76.61
3825835,Athletic Club,455,322,70.77
3825835,Málaga,437,289,66.13
3825836,Rayo Vallecano,614,509,82.9
3825836,Villarreal,390,268,68.72
3825837,Las Palmas,517,425,82.21
3825837,Real Betis,492,397,80.69
3825838,Athletic Club,745,615,82.55
3825838,Atlético Madrid,394,277,70.3
3825839,Sevilla,520,406,78.08
3825839,Sporting Gijón,460,339,73.7
3825840,Eibar,516,400,77.52
3825840,Valencia,549,446,81.24
3825841,Getafe,395,297,75.19
3825841,Real Sociedad,552,437,79.17
3825842,Athletic Club,590,452,76.61
3825842,Levante UD,338,215,63.61
3825843,Málaga,434,314,72.35
3825843,Rayo Vallecano,390,287,73.59
3825844,Athletic Club,548,400,72.99
3825844,Real Betis,599,442,73.79
3825845,Espanyol,352,242,68.75
3825845,Sevilla,502,380,75.7
3825846,RC Deportivo La Coruña,489,401,82.0
3825846,Real Madrid,698,615,88.11
3825847,Eibar,449,298,66.37
3825847,RC Deportivo La Coruña,489,337,68.92
3825848,Eibar,386,236,61.14
3825848,Levante UD,524,395,75.38
3825849,Real Sociedad,475,352,74.11
3825849,Valencia,489,367,75.05
3825850,Celta Vigo,580,448,77.24
3825850,Málaga,464,340,73.28
3825851,RC Deportivo La Coruña,360,259,71.94
3825851,Villarreal,652,557,85.43
3825852,Las Palmas,557,460,82.59
3825852,Sporting Gijón,429,316,73.66
3825853,Granada,341,245,71.85
3825853,Sevilla,522,410,78.54
3825854,Eibar,493,380,77.08
3825854,Sporting Gijón,412,291,70.63
3825855,Levante UD,379,261,68.87
3825855,Málaga,515,378,73.4
3825856,Eibar,374,261,69.79
3825856,Real Madrid,582,482,82.82
3825857,Espanyol,404,283,70.05
3825857,Levante UD,440,316,71.82
3825858,Eibar,349,190,54.44
3825858,Rayo Vallecano,487,328,67.35
3825859,Granada,389,277,71.21
3825859,Las Palmas,642,529,82.4
3825860,Atlético Madrid,516,404,78.29
3825860,Levante UD,618,504,81.55
3825861,Rayo Vallecano,590,440,74.58
3825861,Real Sociedad,357,237,66.39
3825862,Celta Vigo,666,532,79.88
3825862,Espanyol,447,306,68.46
3825863,Las Palmas,653,560,85.76
3825863,RC Deportivo La Coruña,412,304,73.79
3825864,Real Madrid,534,424,79.4
3825864,Real Sociedad,461,337,73.1
3825865,Getafe,464,347,74.78
3825865,Sporting Gijón,337,219,64.99
3825866,Athletic Club,458,330,72.05
3825866,Las Palmas,687,578,84.13
3825867,Getafe,410,274,66.83
3825867,Sevilla,431,300,69.61
3825868,Celta Vigo,596,484,81.21
3825868,Granada,365,248,67.95
3825869,Athletic Club,569,459,80.67
3825869,Sevilla,437,329,75.29
3825870,Athletic Club,500,351,70.2
3825870,Celta Vigo,395,256,64.81
3825871,Espanyol,391,303,77.49
3825871,Las Palmas,637,543,85.24
3825872,Atlético Madrid,481,366,76.09
3825872,Real Betis,504,404,80.16
3825873,Valencia,616,517,83.93
3825873,Villarreal,504,407,80.75
3825874,Getafe,385,293,76.1
3825874,Sevilla,501,422,84.23
3825875,Real Sociedad,600,475,79.17
3825875,Villarreal,437,313,71.62
3825876,Getafe,378,284,75.13
3825876,Real Betis,550,451,82.0
3825877,Athletic Club,495,384,77.58
3825877,Granada,414,308,74.4
3825878,Atlético Madrid,355,220,61.97
3825878,Rayo Vallecano,547,412,75.32
3825879,Las Palmas,561,459,81.82
3825879,Real Madrid,545,458,84.04
